ACCIDENT_ID,LOCATE_ID_DISTRICT,LOCATE_ID_POLICE,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_TYPE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,LOCATE_AREATYPE,HEALTH_DEADPLACE,HEALTH_EMSSEND
146167,100806,0,1,16,1000,0,1,1,1,3,1,1,583623,1300009,11.75891229,99.76748007,2,30,2,1,1081,1081,0,10,60
146168,100476,0,4,15,4000,1,0,4,1,1,1,1,1037516,1793768,16.16508911,104.0225793,2,14,2,0,1052,1052,0,0,50
146169,100777,0,4,15,0,1,0,1,1,1,1,1,619160,1600562,14.47513196,100.1056767,1,30,3,0,1068,1068,2,0,20
146170,100507,0,11,13,0,1,0,4,1,1,90,90,1004184,1849382,16.67324909,103.7240226,1,34,2,0,1053,1053,0,0,90
146171,100906,0,12,11,0,1,0,2,1,2,1,2,543922,808507,7.314243065,99.39792944,1,35,2,0,1091,1091,0,0,90
146172,100091,0,12,11,0,1,0,2,1,3,1,2,642002,1545754,13.97860745,100.3147215,1,34,2,0,1074,1074,2,0,40
146173,100632,0,12,11,0,1,0,1,1,1,1,3,595784,2116028,19.13512132,99.91077006,1,43,2,0,1063,1063,0,0,50
146174,100394,0,12,11,0,1,0,1,1,3,1,1,897719,1778883,16.05764533,102.7161374,1,51,2,0,1047,1047,1,0,50
146175,100501,0,1,12,0,1,0,2,1,1,1,1,972193,1828937,16.49560058,103.4207293,1,40,2,0,1053,1053,0,0,20
146176,100905,0,12,11,49000,1,0,2,1,1,1,1,0,0,0,94.5112561,1,14,2,0,1091,1091,0,0,90
146177,100750,0,1,12,40000,2,0,4,1,2,1,1,592615,1523927,13.78331295,99.85679429,2,41,3,0,1074,1074,0,0,40
146178,100750,0,1,12,40000,2,0,4,1,2,1,1,592615,1523927,13.78331295,99.85679429,2,19,2,0,1074,1074,0,0,40
146179,100604,0,12,11,0,1,0,1,1,1,1,1,613118,1912533,17.29527785,100.0643374,1,57,2,0,1060,1060,0,0,50
146180,100105,0,12,11,0,1,0,1,1,5,1,2,675868,1518920,13.73417074,100.6264989,2,47,3,0,1041,1041,1,0,40
146181,100612,0,12,11,50000,1,0,2,1,1,1,1,0,0,0,94.5112561,1,202,2,0,1061,1061,0,0,20
146182,100800,0,12,11,0,1,0,1,1,1,1,1,563758,1269710,11.48534598,99.58459798,2,47,3,0,1081,1081,0,0,60
146183,100637,0,12,11,0,1,0,4,1,90,1,1,0,0,0,94.5112561,2,20,2,0,1064,1088,0,0,20
