,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
135,0.449,0.0898,80.126,0.425,0.33,0.000162,4,0.736,1,219080,-11.462,0.326,0,audio_features,spotify:track:152lZdxL1OR0ZMW6KquMif
136,0.804,0.0494,104.823,0.0677,0.0231,0.0,4,0.744,1,205715,-6.327,0.426,1,audio_features,spotify:track:6De0lHrwBfPfrhorm9q1Xl
137,0.802,0.148,170.157,0.181,0.0871,6.45e-06,4,0.652,7,211933,-6.114,0.295,1,audio_features,spotify:track:0TvQLMecTE8utzoNmvXRbK
138,0.88,0.0566,93.004,0.0265,0.0642,0.000167,4,0.716,9,203417,-5.017,0.777,1,audio_features,spotify:track:3QdBjjzP3JuBnchPSPOMDC
139,0.653,0.0482,93.996,0.033,0.172,0.00831,4,0.714,7,301827,-7.277,0.846,1,audio_features,spotify:track:1OT1aHyGLoOGxnSFYcuzEC
140,0.88,0.24,158.043,0.0706,0.0215,0.0,4,0.486,5,210987,-3.097,0.71,0,audio_features,spotify:track:3RlcLpMmRvSd84Uw6Yt4Iw
141,0.561,0.0739,180.044,0.209,0.157,0.0,4,0.669,11,171096,-4.923,0.604,0,audio_features,spotify:track:2jYmK1cb3Uya6FFsocdpzO
142,0.803,0.153,106.97,0.0797,0.034,0.0,4,0.818,1,225983,-4.282,0.632,1,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P
143,0.762,0.0957,99.989,0.0967,0.0708,0.0,4,0.674,0,238690,-5.452,0.617,1,audio_features,spotify:track:5S2aCEv3wt0bukp7nmhw52
144,0.844,0.315,134.964,0.0703,0.0193,0.0,4,0.696,1,221173,-2.95,0.441,1,audio_features,spotify:track:6iu311jZAJFLPgoIWgrA72
145,0.844,0.572,110.012,0.0578,0.617,0.0,3,0.693,0,196853,-2.257,0.717,0,audio_features,spotify:track:095rDYLjAHYmis3vU8gRxo
146,0.21,0.086,107.0,0.11,0.773,0.0,4,0.923,2,217187,-10.794,0.479,1,audio_features,spotify:track:46Sl1ZdGrMdbdKQ63loc6h
147,0.466,0.119,136.042,0.0354,0.568,2.13e-05,4,0.637,0,202695,-7.885,0.21,1,audio_features,spotify:track:1H0gOyCNo1NKWFmM8VMIeN
148,0.594,0.134,186.054,0.282,0.165,3.49e-06,4,0.681,7,230453,-7.028,0.535,1,audio_features,spotify:track:5aAx2yezTd8zXrkmtKl66Z
149,0.814,0.126,119.041,0.0999,0.132,9.64e-06,4,0.738,7,225850,-4.414,0.483,0,audio_features,spotify:track:3Ytr1SUCUi6J3L9dRFx5iH
150,0.644,0.117,199.96,0.0776,0.467,0.0,4,0.533,1,217973,-5.79,0.755,0,audio_features,spotify:track:6Rpj87GuuE59nij1NVmpzD
