,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
8404,0.9259999999999999,0.5820000000000001,106.99,0.11199999999999999,0.0376,0.0,4,0.741,9,198867,-3.968,0.5710000000000001,0,3AyLh4R4D3fQfyqCsTdFf3,5,See U Later,BLACKPINK,109357,2018-06-17,3AyLh4R4D3fQfyqCsTdFf3
17004,0.799,0.19399999999999998,142.991,0.0429,0.0142,0.0,4,0.633,7,234178,-4.625,0.535,0,7lthOBXNue2IvedLRfkod8,5,HOME,BTS,258335,2019-04-14,7lthOBXNue2IvedLRfkod8
8804,0.96,0.0925,110.05799999999999,0.09,0.0419,0.0,4,0.615,4,237077,-1.807,0.504,1,57Enap29zKl7NGRdDJjkjA,5,FOREVER YOUNG - KR Ver.,BLACKPINK,103900,2018-07-01,57Enap29zKl7NGRdDJjkjA
16404,0.7390000000000001,0.0986,78.995,0.0318,0.555,0.0,4,0.539,10,229367,-4.543,0.848,1,7xJowlJfrvuFbooVesjFm0,5,เพื่อน,Polycat,151692,2019-03-24,7xJowlJfrvuFbooVesjFm0
4,0.815,0.0924,88.931,0.12,0.22899999999999998,0.0,4,0.6940000000000001,2,228827,-4.328,0.813,1,5CtI0qwDJkDQGwXD1H1cLb,5,Despacito - Remix,Luis Fonsi,42029,2017-08-27,5CtI0qwDJkDQGwXD1H1cLb
16805,0.9059999999999999,0.077,145.041,0.0734,0.0336,7.75e-05,4,0.68,11,201225,-6.195,0.68,0,7tXQdx76iQVFeaBGDzXpZ2,6,DDU-DU DDU-DU - Remix,BLACKPINK,153757,2019-04-07,7tXQdx76iQVFeaBGDzXpZ2
405,0.43700000000000006,0.106,180.043,0.039,0.10099999999999999,1.27e-06,4,0.258,11,239000,-6.593,0.0967,0,1j4kHkkpqZRBwE0A4CN4Yv,6,Dusk Till Dawn - Radio Edit,ZAYN,42616,2017-09-10,1j4kHkkpqZRBwE0A4CN4Yv
7605,0.6609999999999999,0.0779,149.92600000000002,0.0889,0.10300000000000001,0.0,4,0.541,1,275696,-5.837999999999999,0.285,1,22ryCgQttpV7oCrn7llGRu,6,Magic Shop,BTS,69143,2018-05-20,22ryCgQttpV7oCrn7llGRu
26205,0.8009999999999999,0.157,95.031,0.0305,0.2,0.0,4,0.627,10,266526,-4.208,0.8109999999999999,1,4Cg2XGrrrczeZRPOnlAG67,6,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,343911,2020-03-01,4Cg2XGrrrczeZRPOnlAG67
24205,0.40299999999999997,0.25,93.994,0.0445,0.447,0.0,4,0.8109999999999999,5,224792,-10.785,0.389,1,5j9eyp0YnOKzAjQyXXXSeb,6,รักได้ป่าว,Gavin D,280665,2019-12-22,5j9eyp0YnOKzAjQyXXXSeb
17005,0.47,0.0963,81.0,0.0428,0.226,0.0,4,0.608,8,227275,-6.73,0.24100000000000002,1,0eeeyCAGnGZInPtpkdYiPa,6,Jamais Vu,BTS,251186,2019-04-14,0eeeyCAGnGZInPtpkdYiPa
12405,0.8420000000000001,0.0683,115.944,0.1,0.237,0.0,4,0.6859999999999999,0,224483,-4.423,0.519,1,4EjUFjzi4ErWjklOA3Aslu,6,Tempo,EXO,131151,2018-11-04,4EjUFjzi4ErWjklOA3Aslu
26005,0.8170000000000001,0.33799999999999997,105.936,0.0987,0.11800000000000001,0.0,4,0.583,9,246381,-5.146,0.43799999999999994,0,2QyuXBcV1LJ2rq01KhreMF,6,ON,BTS,342565,2020-02-23,2QyuXBcV1LJ2rq01KhreMF
14805,0.733,0.242,102.211,0.203,0.17600000000000002,0.0,4,0.599,11,162583,-7.058,0.534,1,7COXchtUOMd6uIT6HvmRaI,6,i'm so tired...,Lauv,151455,2019-01-27,7COXchtUOMd6uIT6HvmRaI
11805,0.591,0.0739,135.957,0.0996,0.382,0.0,4,0.9129999999999999,11,243529,-4.789,0.772,1,42pEFPN6KrUydf2ufdampZ,6,เสือสิ้นลาย,F.HERO,98847,2018-10-14,42pEFPN6KrUydf2ufdampZ
